,Unnamed: 0,Comment ID,Comment Body,Author,Upvotes,Timestamp,Cleaned_Comment,ClusterLabel,sentiment_polarity,sentiments
0,163,m6d2j46,more of the same old boring,sheldonxp2000,1,1736489754.0,old bore,0,0.12,positive
1,14,m5v8azi,The wallpapers are beautiful,UnhappyAd7832,3,1736255995.0,wallpaper beautiful,1,0.38,positive
2,180,m6xourd,Is it only me or someone else HATE those round corners ??? 🤔,FlacFanDAC,1,1736783492.0,I someone else hate round corner,2,-0.12,negative
3,15,m5y9a9f,All I want is Qi2 🥺,Fezzicc,3,1736289208.0,I want I,2,0.25,positive
4,243,m5vsouy,"I'm pretty sure the elite chip is meant to be a fair bit more efficient than the 8 gen 3, but yeah the performance is such a non issue nowadays that it simply doesn't matter",ImawhaleCR,1,1736263297.0,I pretty sure elite chip mean fair bit efficient gen yeah performance non issue nowadays simply matter,2,0.12,positive
5,479,m5ztn66,Yeah that's me haha. Completely forgot,judgedavid90,2,1736308233.0,yeah I hata completely forget,2,0.38,positive
6,36,m5thuo3,How do we know if these are official?,WastedSmarts,3,1736222240.0,know official,5,0.31,positive
7,17,m5tcfqg,"They look awesome, can't wait for mine",JonathanDM7,6,1736220273.0,look awesome wait mine,8,0.25,positive
8,186,m8oiflo,The s23 has more class look wise. 25 just seems to exist fr,suprmohit,1,1737611565.0,class look wise seem exist fr,8,0.1,positive
9,359,m5ve2kw,"Depends, with trade ins you can actually upgrade for like $250",yam-bam-13,1,1736258247.0,depend trade actually upgrade like,8,0.22,positive
10,446,m6crz0s,Yeah that's true we be having really good deals on that seems like the uk is more like a bundle offer kind of thing like akg headphones and such.,SenpaiChara,1,1736484690.0,yeah true really good deal seem like like bundle offer kind thing like ak headphone,8,0.14,positive
11,76,m5vu42l,Is this leaked?,Fearless-Voice-7602,1,1736263746.0,lean,10,-0.12,negative
12,101,m5x6ki6,Where's the MagSafe capability?,Illustrious-Luck8916,1,1736277962.0,massage capability,12,0.25,positive
13,115,m5zfret,Breakthrough,r4nd0miz3d,1,1736303221.0,breakthrough,14,0.62,positive
14,122,m605t6e,"So who put the protector on wrong.

![gif](giphy|Ve7wX45gaOFmw8eeEM)",AWESOMEGAMERSWAGSTAR,1,1736313352.0,put protector wrong gifgiphy vewxgaofmwem,15,-0.21,negative
15,129,m61ajks,Any information about the S25 Slim?,HelomaDurum,1,1736337170.0,information slim,16,0.25,positive
16,132,m61sjbo,There is quite a big difference in the chips though.,Liverpool1900,1,1736344914.0,quite big difference chip though,17,-0.17,negative
17,297,mauy2mk,there's definitely a difference ✌,youngmillennial97,1,1738638226.0,definitely difference,17,0.25,positive
18,157,m68fv2g,Is this why everyone is into the baggy pants again? To fit their oversized phablets into their pockets?,JerryConn,1,1736435331.0,everyone baggy part fit oversize tablet pocket,21,0.12,positive
19,263,m61ciw7,Yeah Apple and Samsung are more alike than ever so most criticisms of either one can be given to the other too.,DDDystopia666,1,1736338173.0,yeah apple samson alike ever criticism either one give,22,-0.1,negative
20,18,m5w3jia,S25 ultra looks beautiful 😍,indiankesh,6,1736266611.0,ultra look beautiful,22,0.38,positive
21,427,m5wiic3,"How so? I highly prefer my P9P over any Samsung phone, having owned S8, S20 FE, S23, S24 and S24 Ultra.",EllendelingMusic,1,1736271010.0,I highly prefer p samson phone fe ultra,22,0.3,positive
22,461,m5u3r5w,"Yeah this.
The ultras ale lackluster compared to the competition for some time now.
Dont get me wrong, the Ultra is good, but it really doesnt live up to its name anymore.
It should be the cutting edge, but its really not that.",NeonflameOWO,8,1736232450.0,yeah ultra ale lackluster compare competition time get I wrong ultra good really live name anymore cut edge really,22,0.12,positive
23,181,m8l0my1,Any preorder gifts?  UK seem to be doing free buds 3,Creative_Emu3851,1,1737571702.0,recorder gift seem free bud,23,0.17,positive
24,37,m5tc09e,ULTRA LOOKS LIKE S21U .....WITH LESS BORDERS,devaacl,5,1736220118.0,ultra look like less border,24,-0.12,negative
25,246,m5wdjm5,"If you want change, look at Chinese brands. Samsung is unfortunately going down the wrong path in this regard.",Ok-Height9300,1,1736269557.0,want change look chinese band samson unfortunately go wrong path regard,24,-0.11,negative
